name,page,guessed_category,confidence
Sticks,60,Uncategorized,0.00
Swiss,345,Uncategorized,0.00
Waldorf,339,Uncategorized,0.00
"Watercress, Dressed",328,Uncategorized,0.00
Wiersbick's,333,Uncategorized,0.00
"Boiled, II",325,Uncategorized,0.00
Club French,324,Uncategorized,0.00
"Cream, I",324,Desserts,0.40
"Cream, II",324,Desserts,0.40
French,323,Uncategorized,0.00
German,325,Uncategorized,0.00
"Oil, I",325,Uncategorized,0.00
"Oil, II",326,Uncategorized,0.00
Parisian French,323,Uncategorized,0.00
"Salt, to Prevent Lumping",597,Uncategorized,0.00
"Salted Almonds, I",535,Uncategorized,0.00
Almonds II,536,Uncategorized,0.00
Peanuts,536,Uncategorized,0.00
Pecans,536,Uncategorized,0.00
Club,552,Uncategorized,0.00
Colonial,552,Uncategorized,0.00
German,553,Uncategorized,0.00
Ginger,552,Uncategorized,0.00
Noisette,552,Uncategorized,0.00
Russian,553,Uncategorized,0.00
Windsor,551,Uncategorized,0.00
Saratoga Chips,314,Uncategorized,0.00
Creamed,561,Desserts,0.40
Grilled,561,Mains,0.40
Allemande,266,Uncategorized,0.00
Aurora,169,Uncategorized,0.00
Bearnaise,98,Uncategorized,0.00
Bercy,172,Uncategorized,0.00
"Brown, I",267,Uncategorized,0.00
"Brown, II (Espagnole)",268,Uncategorized,0.00
Caper,267,Uncategorized,0.00
Champagne,269,Uncategorized,0.00
Chili,590,Uncategorized,0.00
Cream,266,Desserts,0.40
Creole,278,Uncategorized,0.00
Cumberland,259,Uncategorized,0.00
Espagnole,200,Uncategorized,0.00
I'Estragnon,219,Uncategorized,0.00
Figaro,275,Uncategorized,0.00
Finiste,279,Uncategorized,0.00
"Horseradish, I",275,Uncategorized,0.00
"Horseradish, II",275,Uncategorized,0.00
Hot Tartare,277,Uncategorized,0.00
Mint,276,Uncategorized,0.00
Normandy,171,Uncategorized,0.00
Olive,268,Uncategorized,0.00
Olive and Almond,272,Uncategorized,0.00
Piquante,268,Uncategorized,0.00
Port Wine,277,Uncategorized,0.00
Poulette,308,Uncategorized,0.00
Russian,278,Uncategorized,0.00
Silesian,163,Uncategorized,0.00
Soubise,267,Uncategorized,0.00
Sour Cream,260,Desserts,0.40
Spanish,271,Uncategorized,0.00
Supreme,273,Uncategorized,0.00
Tartar,273,Uncategorized,0.00
Tartare,277,Uncategorized,0.00
Trianon,275,Uncategorized,0.00
Tyrolienne,278,Uncategorized,0.00
Velout6,266,Uncategorized,0.00
Victor Hugo,197,Uncategorized,0.00
Vinaigrette,277,Uncategorized,0.00
"White, I",266,Uncategorized,0.00
"White, II",266,Uncategorized,0.00
"White, Thick",266,Uncategorized,0.00
"White, Thin",266,Uncategorized,0.00
Brandy,409,Uncategorized,0.00
Chocolate,396,Drinks,0.40
"Cream, I",407,Desserts,0.40
"Cream, II",407,Desserts,0.40
"Creamy, I",408,Uncategorized,0.00
"Creamy, II",408,Uncategorized,0.00
"Foamy, I",408,Uncategorized,0.00
"Foamy, II",408,Uncategorized,0.00
Hard,404,Uncategorized,0.00
Liquids,404,Uncategorized,0.00
Maraschino,351,Uncategorized,0.00
Molasses,407,Uncategorized,0.00
Sabyon,409,Uncategorized,0.00
Steriing,409,Uncategorized,0.00
Wine,409,Uncategorized,0.00
"Yellow, I, 407 ; II",407,Uncategorized,0.00
Saut6ing,22,Uncategorized,0.00
Sauterne Cup,45,Uncategorized,0.00
Devilled,369,Mains,0.40
Woodcock,563,Uncategorized,0.00
Scottish Fancies,487,Uncategorized,0.00
Country Style,99,Uncategorized,0.00
"Scrod, Broiled",163,Mains,0.40
Planked,167,Mains,0.40
"Planked, with Creamed Roe",168,Mains,0.40
"Roe, Baked",169,Uncategorized,0.00
"Roe, Broiled",163,Mains,0.40
"Roe, Fried",174,Mains,0.40
"Shellfish, Bivalve MoUusks",155,Uncategorized,0.00
London,442,Uncategorized,0.00
Milk,437,Uncategorized,0.00
"Sink Drain, Care of",598,Uncategorized,0.00
Fried,173,Mains,0.40
Soda Bicarbonate,52,Uncategorized,0.00
Sodium Chloride,5,Uncategorized,0.00
Chocolate,397,Drinks,0.40
Spanish,398,Uncategorized,0.00
Almond,125,Uncategorized,0.00
Appledore,138,Uncategorized,0.00
Binding of,113,Uncategorized,0.00
Bortchock,116,Uncategorized,0.00
Clearing of,112,Uncategorized,0.00
Gonsomm6 au Parmesan,128,Uncategorized,0.00
Gonaoiiuii6 auz Pfttea,129,Uncategorized,0.00
Cream,109,Desserts,0.40
Creole,115,Uncategorized,0.00
Dinner,116,Uncategorized,0.00
Duchess,121,Uncategorized,0.00
Farina,120,Uncategorized,0.00
French White,119,Uncategorized,0.00
Hygienic,120,Uncategorized,0.00
Imperial,122,Uncategorized,0.00
Julienne,116,Uncategorized,0.00
Kornlet,138,Uncategorized,0.00
Making,110,Uncategorized,0.00
Mock Turtle,127,Uncategorized,0.00
Mulligatawny,127,Uncategorized,0.00
Ox-tail,117,Uncategorized,0.00
Royal,121,Uncategorized,0.00
Scotch,117,Uncategorized,0.00
Spring,120,Uncategorized,0.00
St. Germain,122,Uncategorized,0.00
Turkish,115,Uncategorized,0.00
"Watercress, Cream of",124,Desserts,0.40
White,119,Uncategorized,0.00
Cream,423,Desserts,0.40
Boiled,299,Uncategorized,0.00
French Style,300,Uncategorized,0.00
Spun Sugar,548,Uncategorized,0.00
Squask,300,Uncategorized,0.00
Hubbard,300,Uncategorized,0.00
Marrow,300,Uncategorized,0.00
Pie I,473,Desserts,0.40
Pie II,474,Desserts,0.40
"Summer, Boiled",301,Uncategorized,0.00
"Summer, Fried, I",301,Mains,0.40
"Summer, Fried, II",301,Mains,0.40
Turban,300,Uncategorized,0.00
"Winter, Baked, I",301,Uncategorized,0.00
"Winter, Baked, II",301,Uncategorized,0.00
"Winter, Boiled",301,Uncategorized,0.00
"Winter, Steamed",301,Uncategorized,0.00
Starch,5,Uncategorized,0.00
"Starch, Dextrine",5,Uncategorized,0.00
Glycogen,6,Uncategorized,0.00
Test for,5,Uncategorized,0.00
Stewing,19,Uncategorized,0.00
Imperial (in Rings),145,Uncategorized,0.00
Poultry,244,Uncategorized,0.00
Sucrose,6,Uncategorized,0.00
Sugar,6,Uncategorized,0.00
Barley,7,Uncategorized,0.00
"Boiled, for Confections",544,Uncategorized,0.00
Cane (Sucrose),6,Uncategorized,0.00
Changes in Cooking of,7,Uncategorized,0.00
Milk (Lactose),6,Uncategorized,0.00
Spun,548,Uncategorized,0.00
Suitable Combinations for Serving,602,Uncategorized,0.00
Broiled,232,Mains,0.40
Country Style,233,Uncategorized,0.00
Creamed,233,Desserts,0.40
"Creamed, and Chicken",233,Desserts,0.40
Epigrams of,361,Uncategorized,0.00
"Eugenie, Braised",234,Mains,0.40
Larded,233,Mains,0.40
"Swordfish, Broiled",163,Mains,0.40
Newton,391,Uncategorized,0.00
Polish,478,Uncategorized,0.00
Banbury,475,Uncategorized,0.00
Calv6,479,Uncategorized,0.00
Black,32,Uncategorized,0.00
De John's,34,Uncategorized,0.00
Five o'clock,34,Uncategorized,0.00
Green,32,Uncategorized,0.00
Making of,34,Uncategorized,0.00
Russian,34,Uncategorized,0.00
Wellesley,34,Uncategorized,0.00
"Calf's Head, k la",210,Uncategorized,0.00
Mock,262,Uncategorized,0.00
Washington,176,Uncategorized,0.00
"Thanksgiving Dinner, Menu for",610,Uncategorized,0.00
Theine,33,Uncategorized,0.00
Theobromine,40,Uncategorized,0.00
Forming of,362,Uncategorized,0.00
