name,page,category,tags,url,pageStatus
Lemon jelly cake,17,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n22,verified
Lemon cake,17,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n22,verified
Lemon maccaroons,26,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n31,verified
Marble chocolate cake,17,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n22,verified
Molasses spice cake,18,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n23,verified
Molasses cake,18,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n23,verified
Molasses candy,27,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n32,verified
Minnehaha cake,18,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n23,verified
Mince pie,87,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n92,verified
Mustard pickles,82,Sauces & Condiments,,https://archive.org/details/worldsfairrecipe00land/page/n87,verified
Mock mince pie,86,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n91,verified
Mutton soup,99,Soups & Stews,,https://archive.org/details/worldsfairrecipe00land/page/n104,verified
Marguerite eggs,33,Breakfast & Brunch,,https://archive.org/details/worldsfairrecipe00land/page/n38,verified
Mock duck,33,Mains,,https://archive.org/details/worldsfairrecipe00land/page/n38,verified
Middlesex cake,18,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n23,verified
Noodle soup,99,Soups & Stews,,https://archive.org/details/worldsfairrecipe00land/page/n104,verified
Nut candy,27,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n32,verified
Orange marmalade,31,Preserves & Pickles,,https://archive.org/details/worldsfairrecipe00land/page/n36,verified
Oyster croquettes,42,Sides,,https://archive.org/details/worldsfairrecipe00land/page/n47,verified
Omelet with chopped ham,34,Breakfast & Brunch,,https://archive.org/details/worldsfairrecipe00land/page/n39,verified
Orange cake,19,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n24,verified
Orange puddings,94,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n99,verified
Oyster omelet,42,Breakfast & Brunch,,https://archive.org/details/worldsfairrecipe00land/page/n47,verified
Oyster soup,42,Soups & Stews,,https://archive.org/details/worldsfairrecipe00land/page/n47,verified
Pork cake,19,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n24,verified
Parker rolls,4,Breads,,https://archive.org/details/worldsfairrecipe00land/page/n9,verified
Premium cider,104,Drinks,,https://archive.org/details/worldsfairrecipe00land/page/n109,verified
Potato soup,99,Soups & Stews,,https://archive.org/details/worldsfairrecipe00land/page/n104,verified
Pickled oysters,82,Preserves & Pickles,,https://archive.org/details/worldsfairrecipe00land/page/n87,verified
Potato cream,94,Sides,,https://archive.org/details/worldsfairrecipe00land/page/n99,verified
Preserve eggs for six months to one year,77,Preserves & Pickles,,https://archive.org/details/worldsfairrecipe00land/page/n82,verified
Plum pudding,94,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n99,verified
Potato souffle,101,Sides,,https://archive.org/details/worldsfairrecipe00land/page/n106,verified
Prune pudding,94,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n99,verified
Peach pie,87,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n92,verified
Pickled eggs and beets,82,Breakfast & Brunch,,https://archive.org/details/worldsfairrecipe00land/page/n87,verified
Peach wine,104,Drinks,,https://archive.org/details/worldsfairrecipe00land/page/n109,verified
Pineapple cake,19,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n24,verified
Pineapple pie,87,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n92,verified
Pressed turkey,37,Mains,,https://archive.org/details/worldsfairrecipe00land/page/n42,verified
Popped corn,27,Sides,,https://archive.org/details/worldsfairrecipe00land/page/n32,verified
Pancakes,19,Breakfast & Brunch,,https://archive.org/details/worldsfairrecipe00land/page/n24,verified
Popcorn candy,27,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n32,verified
Pop corn balls,27,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n32,verified
"Pot pie, chicken, veal or lamb",34,Mains,,https://archive.org/details/worldsfairrecipe00land/page/n39,verified
Potted herring,42,Mains,,https://archive.org/details/worldsfairrecipe00land/page/n47,verified
Pineapple sherbet,31,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n36,verified
Peanut candy,25,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n30,verified
Quality crest cake,19,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n24,verified
Quince wine,101,Drinks,,https://archive.org/details/worldsfairrecipe00land/page/n106,verified
Quick soup with canned goods,99,Soups & Stews,,https://archive.org/details/worldsfairrecipe00land/page/n104,verified
Rhubarb wine,104,Drinks,,https://archive.org/details/worldsfairrecipe00land/page/n109,verified
Raisin pie,87,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n92,verified
Raspberry wine,104,Drinks,,https://archive.org/details/worldsfairrecipe00land/page/n109,verified
Rice pudding,94,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n99,verified
Roman punch,31,Drinks,,https://archive.org/details/worldsfairrecipe00land/page/n36,verified
Roast beef with Yorkshire pudding,34,Mains,,https://archive.org/details/worldsfairrecipe00land/page/n39,verified
Royal fruit cake,20,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n25,verified
Railroad cake,20,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n25,verified
Rolled jell cake,20,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n25,verified
Raised doughnuts,20,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n25,verified
Sour cherry wine,105,Drinks,,https://archive.org/details/worldsfairrecipe00land/page/n110,verified
Steamed pudding,95,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n100,verified
Saratoga potatoes,101,Sides,,https://archive.org/details/worldsfairrecipe00land/page/n106,verified
Soup stock,99,Soups & Stews,,https://archive.org/details/worldsfairrecipe00land/page/n104,verified
Suet pudding,95,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n100,verified
Salad dressings,97,Sauces & Condiments,,https://archive.org/details/worldsfairrecipe00land/page/n102,verified
Strawberry tapioca,95,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n100,verified
Salem pudding,94,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n99,verified
Spiced peaches,83,Preserves & Pickles,,https://archive.org/details/worldsfairrecipe00land/page/n88,verified
"String beans, how to pickle",83,Preserves & Pickles,,https://archive.org/details/worldsfairrecipe00land/page/n88,verified
Stuffed bell peppers,83,Sides,,https://archive.org/details/worldsfairrecipe00land/page/n88,verified
Spiced apples,83,Preserves & Pickles,,https://archive.org/details/worldsfairrecipe00land/page/n88,verified
Sweet pickles,82,Preserves & Pickles,,https://archive.org/details/worldsfairrecipe00land/page/n87,verified
Sand tarts,21,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n26,verified
Sugar crumb pie,88,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n93,verified
Spiced tomatoes,82,Preserves & Pickles,,https://archive.org/details/worldsfairrecipe00land/page/n87,verified
Sugar cookies,20,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n25,verified
Sugar biscuit,5,Breads,,https://archive.org/details/worldsfairrecipe00land/page/n10,verified
Scalloped oysters,43,Sides,,https://archive.org/details/worldsfairrecipe00land/page/n48,verified
Scalloped fish,37,Sides,,https://archive.org/details/worldsfairrecipe00land/page/n42,verified
Spanish sugar cake,21,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n26,verified
Salmon in mold,42,Mains,,https://archive.org/details/worldsfairrecipe00land/page/n47,verified
Snow custard,31,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n36,verified
Scotch butter candy,28,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n33,verified
Sponge gingerbread,5,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n10,verified
Sunshine cake,21,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n26,verified
Sponge cake,21,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n26,verified
Soft gingerbread,5,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n10,verified
Surprise cake,22,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n27,verified
Sugar candy,27,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n32,verified
Sugar cake,22,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n27,verified
Striped cake,20,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n25,verified
Spanish ginger cake,21,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n26,verified
Tomato soup,100,Soups & Stews,,https://archive.org/details/worldsfairrecipe00land/page/n105,verified
Tomato hash,39,Mains,,https://archive.org/details/worldsfairrecipe00land/page/n44,verified
Tomato wine,105,Drinks,,https://archive.org/details/worldsfairrecipe00land/page/n110,verified
Taylor cake,22,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n27,verified
Tomato soy,84,Sauces & Condiments,,https://archive.org/details/worldsfairrecipe00land/page/n89,verified
Tapioca and Indian pudding,95,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n100,verified
Tapioca pudding,96,Desserts,,https://archive.org/details/worldsfairrecipe00land/page/n101,verified
Tomato catsup,84,Sauces & Condiments,,https://archive.org/details/worldsfairrecipe00land/page/n89,verified
Veal loaf,35,Mains,,https://archive.org/details/worldsfairrecipe00land/page/n40,verified
Veal turnover,39,Mains,,https://archive.org/details/worldsfairrecipe00land/page/n44,verified
